Time,Average(A)
(us),(V)
4.15970037,-0.3219647
4.16370037,-0.3342215
4.16770037,-0.3465092
4.17170037,-0.3588302
4.17570037,-0.3711756
4.17970037,-0.3835555
4.18370037,-0.3959567
4.18770037,-0.4083815
4.19170037,-0.4208302
4.19570037,-0.4332999
4.19970037,-0.4457925
4.20370037,-0.4582961
4.20770037,-0.4708193
4.21170036,-0.4833559
4.21570036,-0.4959049
4.21970036,-0.508468
4.22370036,-0.5210354
4.22770036,-0.533609
4.23170036,-0.5461833
4.23570036,-0.5587574
4.23970036,-0.5713303
4.24370036,-0.5838957
4.24770036,-0.5964549
4.25170036,-0.6090024
4.25570036,-0.6215438
4.25970036,-0.6340728
4.26370036,-0.6465898
4.26770036,-0.6590924
4.27170036,-0.6715809
4.27570036,-0.6840591
4.27970036,-0.6965214
4.28370036,-0.7089678
4.28770036,-0.7213971
4.29170036,-0.7338114
4.29570036,-0.7462043
4.29970036,-0.7585779
4.30370036,-0.7709256
4.30770036,-0.783245
4.31170036,-0.7955419
4.31570036,-0.8078071
4.31970036,-0.8200449
4.32370036,-0.8322508
4.32770036,-0.8444264
4.33170036,-0.8565668
4.33570036,-0.8686771
4.33970036,-0.8807489
4.34370036,-0.8927859
4.34770036,-0.9047819
4.35170036,-0.9167399
4.35570036,-0.928656
4.35970036,-0.9405287
4.36370036,-0.9523584
4.36770036,-0.9641435
4.37170036,-0.975884
4.37570036,-0.9875771
4.37970036,-0.9992201
4.38370036,-1.010815
4.38770036,-1.022358
4.39170036,-1.033853
4.39570036,-1.045291
4.39970036,-1.056679
4.40370036,-1.068008
4.40770036,-1.079286
4.41170036,-1.090507
4.41570036,-1.101669
4.41970036,-1.112772
4.42370036,-1.123817
4.42770036,-1.1348
4.43170036,-1.145725
4.43570036,-1.156586
4.43970036,-1.167381
4.44370036,-1.178116
4.44770036,-1.188788
4.45170036,-1.199389
4.45570036,-1.209928
4.45970036,-1.220402
4.46370036,-1.230805
4.46770036,-1.241145
4.47170036,-1.251418
4.47570036,-1.261619
4.47970036,-1.271753
4.48370036,-1.281811
4.48770036,-1.291804
4.49170036,-1.301722
4.49570036,-1.311568
4.49970036,-1.321345
4.50370036,-1.331046
4.50770036,-1.340673
4.51170036,-1.35023
4.51570036,-1.359712
4.51970036,-1.369121
4.52370036,-1.378455
4.52770036,-1.387718
4.53170036,-1.396905
4.53570036,-1.406015
4.53970036,-1.415044
4.54370036,-1.423998
4.54770036,-1.432879
4.55170036,-1.441679
4.55570036,-1.450397
